,open,high,low,close,volume,marketCap,date
279,4.029540062,4.2588400841,3.6936199665,4.1794900894,836708,111517744.448,2018-02-21
280,4.2718501091,4.4105701447,3.6528398991,3.6712400913,402364,97956545.9246,2018-02-22
281,3.6639699936,3.9115900993,3.5767700672,3.8270099163,334492,102112823.138,2018-02-23
282,3.8211901188,3.8601799011,3.3001899719,3.3649399281,302601,89783805.9194,2018-02-24
283,3.3636701107,3.4551799297,3.1561899185,3.2699899673,512090,87250336.5642,2018-02-25
284,3.2728199959,3.950040102,3.2415800095,3.7837500572,608713,101005566.782,2018-02-26
285,3.8106100559,4.6129097939,3.8106100559,3.9051299095,4057050,104245753.289,2018-02-27
286,3.8795499802,4.1596498489,3.6497600079,3.8161299229,805680,101869936.852,2018-02-28
287,3.8171000481,4.4232301712,3.5694200993,4.254049778,1137440,113560021.505,2018-03-01
288,4.2452898026,4.7786002159,4.0166101456,4.3042201996,2277620,114922745.915,2018-03-02
289,4.2833199501,5.396130085,4.1738100052,4.590089798,3106160,122555479.692,2018-03-03
290,4.6752800941,4.6752800941,4.0725598335,4.4923601151,860983,119946087.059,2018-03-04
291,4.4866499901,5.9445300102,4.4482998848,5.087269783,14777800,135830193.999,2018-03-05
292,5.4401597977,5.4872698784,4.7517199516,4.9723801613,7478310,132762629.079,2018-03-06
293,4.8187799454,4.8187799454,3.6948900223,4.4392499924,3118940,118528049.172,2018-03-07
294,4.1719198227,4.1719198227,3.6064999104,3.7754700184,1374360,100805112.081,2018-03-08
295,3.6819899082,3.753289938,2.9913799763,3.4370601177,651864,91769559.4269,2018-03-09
296,3.4416000843,4.0046901703,3.352159977,3.4358999729,2164820,91738587.4075,2018-03-10
297,3.3800899982,3.6820800304,3.2760300636,3.6203000546,329766,96662070.4885,2018-03-11
298,3.6138598919,3.7686200142,3.3855700493,3.4724900723,347910,92715541.0188,2018-03-12
299,3.4591898918,3.5839500427,3.385999918,3.4821200371,292989,92992377.9432,2018-03-13
300,3.4856600761,3.5330400467,3.0092000961,3.1027500629,389735,82861044.6117,2018-03-14
301,3.1004400253,3.2332699299,2.8577899933,3.1943800449,517862,85308085.9517,2018-03-15
302,3.1975998878,3.3344900608,3.0982899666,3.152780056,434969,84197129.7174,2018-03-16
